"ship_type","fuel_type","year","consumption"
"C","NH3",2037,0
"C","RefPO",2037,1259.00529100529
"C","H2",2037,0
"T","Oil",2037,1600.14317673378
"T","LNG",2037,535.762224352828
"T","LPG",2037,515.919179006427
"T","MeOH",2037,0
"T","NH3",2037,0
"T","RefPO",2037,1428.69926494088
"T","H2",2037,0
"B","Oil",2037,1781.53411764706
"B","LNG",2037,662.773109243697
"B","LPG",2037,589.131652661064
"B","MeOH",2037,0
"B","NH3",2037,0
"B","RefPO",2037,1602.4380952381
"B","H2",2037,0
"G","Oil",2037,1516.2291515591
"G","LNG",2037,446.746089298664
"G","LPG",2037,481.34258779654
"G","MeOH",2037,0
"G","NH3",2037,0
"G","RefPO",2037,1347.75924583031
"G","H2",2037,0
"O","Oil",2037,817.192156862745
"O","LNG",2037,273.613445378151
"O","LPG",2037,283.747276688453
"O","MeOH",2037,0
"O","NH3",2037,0
"O","RefPO",2037,972.847805788982
"O","H2",2037,0
"C","Oil",2038,1306.93333333333
"C","LNG",2038,359.047619047619
"C","LPG",2038,438.835978835979
"C","MeOH",2038,0
"C","NH3",2038,0
"C","RefPO",2038,1244.69841269841
"C","H2",2038,0
"T","Oil",2038,1581.95973154362
"T","LNG",2038,529.67401725791
"T","LPG",2038,510.056461063172
"T","MeOH",2038,0
"T","NH3",2038,0
"T","RefPO",2038,1412.46404602109
"T","H2",2038,0
"B","Oil",2038,1761.28941176471
"B","LNG",2038,655.241596638655
"B","LPG",2038,582.436974789916
"B","MeOH",2038,0
"B","NH3",2038,0
"B","RefPO",2038,1584.22857142857
"B","H2",2038,0
"G","Oil",2038,1498.99927483684
"G","LNG",2038,441.669429192997
"G","LPG",2038,475.872785662488
"G","MeOH",2038,0
"G","NH3",2038,0
"G","RefPO",2038,1332.44379985497
"G","H2",2038,0
"O","Oil",2038,807.905882352941
"O","LNG",2038,270.504201680672
"O","LPG",2038,280.522875816993
"O","MeOH",2038,0
"O","NH3",2038,0
"O","RefPO",2038,961.792717086835
"O","H2",2038,0
"C","Oil",2039,1291.91111111111
"C","LNG",2039,354.920634920635
"C","LPG",2039,433.79188712522
"C","MeOH",2039,0
"C","NH3",2039,0
"C","RefPO",2039,1230.39153439153
"C","H2",2039,0
"T","Oil",2039,1563.77628635347
"T","LNG",2039,523.585810162991
"T","LPG",2039,504.193743119918
"T","MeOH",2039,0
"T","NH3",2039,0
"T","RefPO",2039,1396.22882710131
"T","H2",2039,0
"B","Oil",2039,1741.04470588235
"B","LNG",2039,647.710084033613
"B","LPG",2039,575.742296918767
"B","MeOH",2039,0
"B","NH3",2039,0
"B","RefPO",2039,1566.01904761905
"B","H2",2039,0
"G","Oil",2039,1481.76939811458
"G","LNG",2039,436.59276908733
"G","LPG",2039,470.402983528437
"G","MeOH",2039,0
"G","NH3",2039,0
"G","RefPO",2039,1317.12835387962
"G","H2",2039,0
"O","Oil",2039,798.619607843137
"O","LNG",2039,267.394957983193
"O","LPG",2039,277.298474945534
"O","MeOH",2039,0
"O","NH3",2039,0
"O","RefPO",2039,950.737628384687
"O","H2",2039,0
"C","Oil",2040,906.797536566589
"C","LNG",2040,697.536566589684
"C","LPG",2040,852.544692498503
"C","MeOH",2040,238.630930675418
"C","NH3",2040,336.741790767434
"C","RefPO",2040,863.61670149199
"C","H2",2040,431.808350745995
"T","Oil",2040,1088.34278512917
"T","LNG",2040,1020.3213610586
"T","LPG",2040,982.531681019394
"T","MeOH",2040,232.704871820383
"T","NH3",2040,304.92362514395
"T","RefPO",2040,971.73462957962
"T","H2",2040,583.040777747772
"B","Oil",2040,1204.84349258649
"B","LNG",2040,1255.04530477759
"B","LPG",2040,1115.59582646897
"B","MeOH",2040,295.926471863349
"B","NH3",2040,406.230756121116
