"","ship_type","fuel_type","year","consumption"
"165","G","MeOH",2029,0
"166","G","NH3",2029,0
"167","G","RefPO",2029,1721.64413793103
"168","G","H2",2029,0
"169","O","Oil",2029,1036.65777777778
"170","O","LNG",2029,0
"171","O","LPG",2029,0
"172","O","MeOH",2029,0
"173","O","NH3",2029,0
"174","O","RefPO",2029,1234.1164021164
"175","O","H2",2029,0
"176","C","Oil",2030,1405.70444444444
"177","C","LNG",2030,386.18253968254
"178","C","LPG",2030,472.000881834215
"179","C","MeOH",2030,0
"180","C","NH3",2030,0
"181","C","RefPO",2030,1338.76613756614
"182","C","H2",2030,0
"183","T","Oil",2030,1701.5158836689
"184","T","LNG",2030,569.703978906999
"185","T","LPG",2030,548.603831540073
"186","T","MeOH",2030,0
"187","T","NH3",2030,0
"188","T","RefPO",2030,1519.21061041866
"189","T","H2",2030,0
"190","B","Oil",2030,1894.39835294118
"191","B","LNG",2030,704.761292016807
"192","B","LPG",2030,626.454481792717
"193","B","MeOH",2030,0
"194","B","NH3",2030,0
"195","B","RefPO",2030,1703.95619047619
"196","B","H2",2030,0
"197","G","Oil",2030,1612.28571428571
"198","G","LNG",2030,475.048469387755
"199","G","LPG",2030,511.836734693877
"200","G","MeOH",2030,0
"201","G","NH3",2030,0
"202","G","RefPO",2030,1433.14285714286
"203","G","H2",2030,0
"204","O","Oil",2030,868.963137254902
"205","O","LNG",2030,290.947478991597
"206","O","LPG",2030,301.723311546841
"207","O","MeOH",2030,0
"208","O","NH3",2030,0
"209","O","RefPO",2030,1034.47992530345
"210","O","H2",2030,0
"211","C","Oil",2031,1390.90755555556
"212","C","LNG",2031,382.11746031746
"213","C","LPG",2031,467.032451499118
"214","C","MeOH",2031,0
"215","C","NH3",2031,0
"216","C","RefPO",2031,1324.67386243386
"217","C","H2",2031,0
"218","T","Oil",2031,1683.6051901566
"219","T","LNG",2031,563.707094918504
"220","T","LPG",2031,542.829054365967
"221","T","MeOH",2031,0
"222","T","NH3",2031,0
"223","T","RefPO",2031,1503.21891978268
"224","T","H2",2031,0
"225","B","Oil",2031,1874.45731764706
"226","B","LNG",2031,697.34275210084
"227","B","LPG",2031,619.860224089636
"228","B","MeOH",2031,0
"229","B","NH3",2031,0
"230","B","RefPO",2031,1686.01980952381
"231","B","H2",2031,0
"232","G","Oil",2031,1595.31428571429
"233","G","LNG",2031,470.047959183673
"234","G","LPG",2031,506.448979591837
"235","G","MeOH",2031,0
"236","G","NH3",2031,0
"237","G","RefPO",2031,1418.05714285714
