"","ship_type","fuel_type","year","consumption"
"457","C","LNG",2033,564.465657521287
"458","C","LPG",2033,689.902470303795
"459","C","MeOH",2033,0
"460","C","NH3",2033,317.917439293598
"461","C","RefPO",2033,978.407139703563
"462","C","H2",2033,407.669641543151
"463","T","Oil",2033,1233.97150090416
"464","T","LNG",2033,826.320201498321
"465","T","LPG",2033,795.715749590975
"466","T","MeOH",2033,0
"467","T","NH3",2033,288.103978300181
"468","T","RefPO",2033,1101.76026866443
"469","T","H2",2033,550.880134332214
"470","B","Oil",2033,1375.46585845763
"471","B","LNG",2033,1023.41209706669
"472","B","LPG",2033,909.699641837058
"473","B","MeOH",2033,0
"474","B","NH3",2033,386.465503014916
"475","B","RefPO",2033,1237.1915128984
"476","B","H2",2033,382.073849571565
"477","G","Oil",2033,1177.89831709477
"478","G","LNG",2033,694.118651145134
"479","G","LPG",2033,747.871947361761
"480","G","MeOH",2033,0
"481","G","NH3",2033,324.937466784765
"482","G","RefPO",2033,1047.02072630647
"483","G","H2",2033,444.048968746046
"484","O","Oil",2033,632.936771728749
"485","O","LNG",2033,423.841588211216
"486","O","LPG",2033,439.539424811631
"487","O","MeOH",2033,0
"488","O","NH3",2033,218.25405921681
"489","O","RefPO",2033,753.496156819939
"490","O","H2",2033,329.654568608723
"491","C","Oil",2034,1015.51913465784
"492","C","LNG",2034,557.977546515295
"493","C","LPG",2034,681.972556852027
"494","C","MeOH",2034,0
"495","C","NH3",2034,314.263215853442
"496","C","RefPO",2034,967.161080626511
"497","C","H2",2034,402.98378359438
"498","T","Oil",2034,1219.787920434
"499","T","LNG",2034,816.822268147765
"500","T","LPG",2034,786.5695915497
"501","T","MeOH",2034,0
"502","T","NH3",2034,284.792438319719
"503","T","RefPO",2034,1089.09635753035
"504","T","H2",2034,544.548178765177
"505","B","Oil",2034,1359.65590606157
"506","B","LNG",2034,1011.64873962914
"507","B","LPG",2034,899.243324114793
"508","B","MeOH",2034,0
"509","B","NH3",2034,382.023370796354
"510","B","RefPO",2034,1222.97092079612
"511","B","H2",2034,377.682196128213
"512","G","Oil",2034,1164.35925597874
"513","G","LNG",2034,686.140275844616
"514","G","LPG",2034,739.275718081741
"515","G","MeOH",2034,0
"516","G","NH3",2034,321.202553373446
"517","G","RefPO",2034,1034.98600531444
"518","G","H2",2034,438.944957611034
"519","O","Oil",2034,625.661636421522
"520","O","LNG",2034,418.969845817983
"521","O","LPG",2034,434.487247514946
"522","O","MeOH",2034,0
"523","O","NH3",2034,215.74539186949
"524","O","RefPO",2034,744.835281454192
"525","O","H2",2034,325.865435636209
"526","C","Oil",2035,585.929097938144
"527","C","LNG",2035,858.504172803142
"528","C","LPG",2035,1049.28287787051
"529","C","MeOH",2035,513.972892928197
"530","C","NH3",2035,725.288008057827
"531","C","RefPO",2035,558.027712322042
"532","C","H2",2035,930.046187203404
"533","T","Oil",2035,703.269198312236
"534","T","LNG",2035,1255.83785412899
"535","T","LPG",2035,1209.3253410131
"536","T","MeOH",2035,501.233529498853
"537","T","NH3",2035,656.7887627916
"538","T","RefPO",2035,627.918927064497
"539","T","H2",2035,1255.83785412899
"540","B","Oil",2035,778.393125
"541","B","LNG",2035,1544.43080357143
"542","B","LPG",2035,1372.82738095238
"543","B","MeOH",2035,637.280921052631
"544","B","NH3",2035,874.822413793103
"545","B","RefPO",2035,700.141964285714
"546","B","H2",2035,864.88125
"547","G","Oil",2035,674.053723772193
"548","G","LNG",2035,1059.22728021345
"549","G","LPG",2035,1141.25498204816
"550","G","MeOH",2035,536.0895113042
"551","G","NH3",2035,743.783419334833
"552","G","RefPO",2035,599.158865575282
"553","G","H2",2035,1016.43021838664
"554","O","Oil",2035,359.961452928095
"555","O","LNG",2035,642.788308800169
"556","O","LPG",2035,666.595283200176
"557","O","MeOH",2035,347.331226509565
"558","O","NH3",2035,496.498555762889
"559","O","RefPO",2035,428.525539200113
"560","O","H2",2035,749.919693600198
"561","C","Oil",2036,579.03581443299
"562","C","LNG",2036,848.40412371134
"563","C","LPG",2036,1036.93837342497
"564","C","MeOH",2036,507.926153011394
"565","C","NH3",2036,716.755207963029
"566","C","RefPO",2036,551.462680412371
"567","C","H2",2036,919.104467353952
"568","T","Oil",2036,694.995443037974
"569","T","LNG",2036,1241.06329113924
"570","T","LPG",2036,1195.09798406001
"571","T","MeOH",2036,495.336664445925
"572","T","NH3",2036,649.061836170522
"573","T","RefPO",2036,620.53164556962
"574","T","H2",2036,1241.06329113924
"575","B","Oil",2036,769.235558823529
"576","B","LNG",2036,1526.26102941176
"577","B","LPG",2036,1356.67647058824
"578","B","MeOH",2036,629.783498452012
"579","B","NH3",2036,864.530385395538
"580","B","RefPO",2036,691.905
"581","B","H2",2036,854.706176470588
"582","G","Oil",2036,666.123679963108
"583","G","LNG",2036,1046.76578279917
"584","G","LPG",2036,1127.82845284759
"585","G","MeOH",2036,529.782575877092
"586","G","NH3",2036,735.033026166188
"587","G","RefPO",2036,592.109937744985
"588","G","H2",2036,1004.47221581739
"589","O","Oil",2036,355.726612305411
"590","O","LNG",2036,635.22609340252
"591","O","LPG",2036,658.752985750762
"592","O","MeOH",2036,343.244976785923
"593","O","NH3",2036,490.657396283326
"594","O","RefPO",2036,423.484062268347
"595","O","H2",2036,741.097108969607
"596","C","Oil",2037,572.142530927835
"597","C","LNG",2037,838.304074619538
"598","C","LPG",2037,1024.59386897944
"599","C","MeOH",2037,501.879413094592
"600","C","NH3",2037,708.222407868231
"601","C","RefPO",2037,544.8976485027
"602","C","H2",2037,908.1627475045
"603","T","Oil",2037,686.721687763713
"604","T","LNG",2037,1226.28872814949
"605","T","LPG",2037,1180.87062710691
"606","T","MeOH",2037,489.439799392997
