"","ship_type","fuel_type","year","consumption"
"528","C","LPG",2035,761.137838869797
"529","C","MeOH",2035,372.830077771749
"530","C","NH3",2035,526.115653513449
"531","C","RefPO",2035,404.786941580756
"532","C","H2",2035,674.644902634593
"533","T","Oil",2035,510.143459915612
"534","T","LNG",2035,910.970464135021
"535","T","LPG",2035,877.230817315205
"536","T","MeOH",2035,363.589088755644
"537","T","NH3",2035,476.427081817741
"538","T","RefPO",2035,455.48523206751
"539","T","H2",2035,910.970464135021
"540","B","Oil",2035,564.6375
"541","B","LNG",2035,1120.3125
"542","B","LPG",2035,995.833333333333
"543","B","MeOH",2035,462.276315789474
"544","B","NH3",2035,634.586206896552
"545","B","RefPO",2035,507.875
"546","B","H2",2035,627.375
"547","G","Oil",2035,488.950887710399
"548","G","LNG",2035,768.351394973484
"549","G","LPG",2035,827.853354853585
"550","G","MeOH",2035,388.873220635171
"551","G","NH3",2035,539.532014025268
"552","G","RefPO",2035,434.623011298132
"553","G","H2",2035,737.306894166475
"554","O","Oil",2035,261.111934766494
"555","O","LNG",2035,466.271312083024
"556","O","LPG",2035,483.540619937951
"557","O","MeOH",2035,251.950112493985
"558","O","NH3",2035,360.154392781371
"559","O","RefPO",2035,310.847541388683
"560","O","H2",2035,543.983197430195
"561","C","Oil",2036,420.025979381443
"562","C","LNG",2036,615.422680412371
"563","C","LPG",2036,752.183276059564
"564","C","MeOH",2036,368.44384156267
"565","C","NH3",2036,519.926057589762
"566","C","RefPO",2036,400.024742268041
"567","C","H2",2036,666.707903780069
"568","T","Oil",2036,504.141772151899
"569","T","LNG",2036,900.253164556962
"570","T","LPG",2036,866.910454758556
"571","T","MeOH",2036,359.311570064401
"572","T","NH3",2036,470.822057325767
"573","T","RefPO",2036,450.126582278481
"574","T","H2",2036,900.253164556962
"575","B","Oil",2036,557.994705882353
"576","B","LNG",2036,1107.13235294118
"577","B","LPG",2036,984.117647058823
"578","B","MeOH",2036,456.837770897833
"579","B","NH3",2036,627.120486815416
"580","B","RefPO",2036,501.9
"581","B","H2",2036,619.994117647059
"582","G","Oil",2036,483.198524325571
"583","G","LNG",2036,759.311966797325
"584","G","LPG",2036,818.113903620014
"585","G","MeOH",2036,384.298241568875
"586","G","NH3",2036,533.184578566147
"587","G","RefPO",2036,429.509799400507
"588","G","H2",2036,728.632695411575
"589","O","Oil",2036,258.040029651594
"590","O","LNG",2036,460.785767234989
"591","O","LPG",2036,477.85190676221
"592","O","MeOH",2036,248.985993523468
"593","O","NH3",2036,355.91728227806
"594","O","RefPO",2036,307.190511489993
"595","O","H2",2036,537.583395107487
"596","C","Oil",2037,415.025670103093
"597","C","LNG",2037,608.096219931271
"598","C","LPG",2037,743.228713249332
"599","C","MeOH",2037,364.05760535359
"600","C","NH3",2037,513.736461666074
"601","C","RefPO",2037,395.262542955326
"602","C","H2",2037,658.770904925544
"603","T","Oil",2037,498.140084388186
"604","T","LNG",2037,889.535864978903
"605","T","LPG",2037,856.590092201906
"606","T","MeOH",2037,355.034051373159
"607","T","NH3",2037,465.217032833794
"608","T","RefPO",2037,444.767932489451
"609","T","H2",2037,889.535864978903
"610","B","Oil",2037,551.351911764706
"611","B","LNG",2037,1093.95220588235
"612","B","LPG",2037,972.401960784313
"613","B","MeOH",2037,451.399226006192
"614","B","NH3",2037,619.65476673428
"615","B","RefPO",2037,495.925
"616","B","H2",2037,612.613235294118
"617","G","Oil",2037,477.446160940742
"618","G","LNG",2037,750.272538621166
"619","G","LPG",2037,808.374452386442
"620","G","MeOH",2037,379.723262502579
"621","G","NH3",2037,526.837143107026
"622","G","RefPO",2037,424.396587502882
"623","G","H2",2037,719.958496656675
"624","O","Oil",2037,254.968124536694
"625","O","LNG",2037,455.300222386953
"626","O","LPG",2037,472.16319358647
"627","O","MeOH",2037,246.02187455295
"628","O","NH3",2037,351.68017177475
"629","O","RefPO",2037,303.533481591302
"630","O","H2",2037,531.183592784779
"631","C","Oil",2038,410.025360824742
"632","C","LNG",2038,600.769759450172
"633","C","LPG",2038,734.274150439099
"634","C","MeOH",2038,359.671369144511
"635","C","NH3",2038,507.546865742387
"636","C","RefPO",2038,390.500343642612
"637","C","H2",2038,650.83390607102
"638","T","Oil",2038,492.138396624472
"639","T","LNG",2038,878.818565400844
"640","T","LPG",2038,846.269729645257
"641","T","MeOH",2038,350.756532681916
"642","T","NH3",2038,459.612008341821
"643","T","RefPO",2038,439.409282700422
"644","T","H2",2038,878.818565400844
"645","B","Oil",2038,544.709117647059
"646","B","LNG",2038,1080.77205882353
"647","B","LPG",2038,960.686274509804
"648","B","MeOH",2038,445.960681114551
"649","B","NH3",2038,612.189046653144
"650","B","RefPO",2038,489.95
"651","B","H2",2038,605.232352941176
"652","G","Oil",2038,471.693797555914
"653","G","LNG",2038,741.233110445008
"654","G","LPG",2038,798.63500115287
"655","G","MeOH",2038,375.148283436283
"656","G","NH3",2038,520.489707647905
"657","G","RefPO",2038,419.283375605257
"658","G","H2",2038,711.284297901775
"659","O","Oil",2038,251.896219421794
"660","O","LNG",2038,449.814677538918
"661","O","LPG",2038,466.474480410729
"662","O","MeOH",2038,243.057755582433
"663","O","NH3",2038,347.44306127144
"664","O","RefPO",2038,299.876451692612
"665","O","H2",2038,524.783790462071
"666","C","Oil",2039,405.025051546392
"667","C","LNG",2039,593.443298969072
"668","C","LPG",2039,725.319587628866
"669","C","MeOH",2039,355.285132935431
"670","C","NH3",2039,501.357269818699
"671","C","RefPO",2039,385.738144329897
"672","C","H2",2039,642.896907216495
"673","T","Oil",2039,486.136708860759
"674","T","LNG",2039,868.101265822785
"675","T","LPG",2039,835.949367088607
"676","T","MeOH",2039,346.479013990673
"677","T","NH3",2039,454.006983849847
"678","T","RefPO",2039,434.050632911392
"679","T","H2",2039,868.101265822785
"680","B","Oil",2039,538.066323529412
"681","B","LNG",2039,1067.59191176471
"682","B","LPG",2039,948.970588235294
"683","B","MeOH",2039,440.52213622291
"684","B","NH3",2039,604.723326572008
"685","B","RefPO",2039,483.975
"686","B","H2",2039,597.851470588235
"687","G","Oil",2039,465.941434171086
"688","G","LNG",2039,732.193682268849
"689","G","LPG",2039,788.895549919299
"690","G","MeOH",2039,370.573304369986
"691","G","NH3",2039,514.142272188784
"692","G","RefPO",2039,414.170163707632
"693","G","H2",2039,702.610099146876
"694","O","Oil",2039,248.824314306894
"695","O","LNG",2039,444.329132690882
"696","O","LPG",2039,460.785767234989
"697","O","MeOH",2039,240.093636611915
"698","O","NH3",2039,343.20595076813
"699","O","RefPO",2039,296.219421793921
"700","O","H2",2039,518.383988139362
"701","C","Oil",2040,161.676666666667
"702","C","LNG",2040,444.166666666666
"703","C","LPG",2040,542.87037037037
"704","C","MeOH",2040,1063.66228070175
"705","C","NH3",2040,1200.7816091954
"706","C","RefPO",2040,153.977777777778
"707","C","H2",2040,1539.77777777778
"708","T","Oil",2040,201.758865248227
"709","T","LNG",2040,675.531914893617
"710","T","LPG",2040,650.512214342001
"711","T","MeOH",2040,1078.48077640911
"712","T","NH3",2040,1130.54536561506
"713","T","RefPO",2040,180.141843971631
"714","T","H2",2040,2161.70212765957
"715","B","Oil",2040,226.847457627119
"716","B","LNG",2040,843.926553672316
"717","B","LPG",2040,750.156936597615
"718","B","MeOH",2040,1392.92298542968
"719","B","NH3",2040,1529.6993311254
"720","B","RefPO",2040,204.042686754551
"721","B","H2",2040,1512.31638418079
"722","G","Oil",2040,190.025706940874
"723","G","LNG",2040,559.897172236504
"724","G","LPG",2040,603.256212510711
"725","G","MeOH",2040,1133.48667298065
"726","G","NH3",2040,1258.10123216027
"727","G","RefPO",2040,168.911739502999
"728","G","H2",2040,1719.28020565553
"729","O","Oil",2040,98.0538302277432
"730","O","LNG",2040,328.305235137533
"731","O","LPG",2040,340.464688290775
"732","O","MeOH",2040,709.600087174458
"733","O","NH3",2040,811.479974298565
"734","O","RefPO",2040,116.730750271123
